contact_uuid,"NPS Question: Based on your experience on your current or most recent assignment, how likely would you be to
recommend [brand] to a friend or colleague?",Comment,Com_code v2,Labels,Class_Label
t5ebdbca71d4f4b649e98f4db150085b9,5,I hate bullhorn.  I was hired by Adecco and that's who should pay me and be responsible for my time entry and any questions I should have about it.,Problems with payroll,neg,0
tad57ad1796a8430ca648f12c874993a8,4,I'm put 8n one area and asked to be moved but am still there. I learn nothing outside of stacking totes day in and day out. Honestly disappointed.,Poor job fit/experience,neg,0
tfcead025bd84434aa5ce6b838abaa1a9,2,Is like Adecco.has forgotten all their staff posted to essentra kitting section,Poor communication,neg,0
t015cb6ea52a74278b02636e5fb525f7e,5,They did not inform me how difficult it would it would be to get hired by the company they sent me to,Poor communication,neg,0
t795333c4a1a24cb48c89933f73cef17d,8,The recruiter is delightful.,Helpful/caring staff,pos,1
t0598ec6a96444754a6b6a7db3198f6ea,8,"Haven't had any issues, and my ratings are truthful.",Good customer service/experience,pos,1
t0110b37c7f7a496e89e188227d7f6ab0,0,A very bad company to work for,Poor service/experience,neg,0
tdbeb8f8bd39e4df5b6fc8144eca50a85,0,The experience,Poor service/experience,neg,0
tf728314eb9dc4b9db0a606d8aa7b289f,7,"Reason for the ratings would be that I did most of the leg work. I not only was honest in what I was looking for, I also was pretty thorough.  Not much work on the placement side was needed other than an opening. Honestly, it worked out and all in all I was satisfied with my placement. However,  it would've been nice to have been a permanent placement in the field I was searching other than a temporary fill in. All in all I am happy Addecco was there in time of need.",Good customer service/experience,pos,1
tb7f5a18974e344358b4853094d9ab1db,8,I gave an 8 because they way we get holiday pay is off putting and confusing. I dont expect to be compensated like our google counterparts but being told I can't work because google is closed and losing pay because I dont have enough hours is disheartening.,Poor benefits,neg,0
t0c8914e4fb0a4b7db25237dd58f3357b,7,I find the truth to be the most important rulers of our lives.,Good customer service/experience,pos,1
tf45267f487bd42eca575391b38454bc1,0,"Very slow communication through the beginning of the onboarding process. No regular updates. I haven't heard a word from Adecco since starting my assignment. Not that I need or expect it, but there just hasn't been any.",Poor communication,neg,0
t58e1247b1de043338170b38e7f3eb8c7,8,Good communication,Good communication,pos,1
tf7154299fe8b4989bd44faa92d7f1183,0,"No communication, debating missing payment.",Poor communication,neg,0
tbf15dc45d89b491e86ef3d668c3beffd,6,"Communication was lost, several emails or phone calls....no follow up.",Poor communication,neg,0
tbfb28fab1e6e4ae1aaa99e632b4bb2c4,2,I reached out via email last year regarding a change of address I needed ASAP for my W2‚Äôs and never received a response. My address is still inaccurate. I also needed to know how to look at my paystubs and never recurved a response. I still do not know the answer to that question.,Lack of Responsiveness,neg,0
te95d60b96d5e44e7a03ce556edbc0030,0,"Adecco rep was hard to reach throughout the process, said I would receive benefits I was never offered, also offered me shift I said beforehand I was not interested in. Would not recommend.",Lack of Responsiveness,neg,0
t7f1d88c831f5434ea6d10077f466ee28,3,"Poor communication, made me lose 3 months of my time, no explanation etc",Poor communication,neg,0
t27e9ab9bac824d71a6e8c654b9c2c81c,8,Trying to be accurate an honest.,Good customer service/experience,pos,1
t27c43022522b4855be9a2befb8b32e38,3,Because a situation happened that had NOTHING to do with me which caused me to get fired and nobody I mean nobody at ADECCO FAUGHT FOR ME to get back in.,Uncaring staff,neg,0
tf17620e674cb44669b3f8c1c499bef48,8,"I had a good experience. My emails didn't always get responded to within 24 hours but definitely between 48 and 72 hours. There were some mix ups initially; people thought I was another person with the same name, but it was cleared up. I spoke with a recruiter, but I wouldn't say she attempted to ""get to know me"" as a person, but she was pleasant to talk to all the same and I was happy to be offered a position.",Lack of Responsiveness,neg,0
t22924796e245427997ce9e4013ed40bf,7,Not bad but could be better.,Good customer service/experience,pos,1
t51c4f2d22d0b4290836b40cf1ea1ee3a,5,"For over a year, everytime I contact ADECCO for a position they didn't have anything for Administrative Assistant which is my background occupation.  I went on to work for other agency.  Once my contract ended with the client under another agency, I contacted ADECCO again. This time the only thing they had available is with the client I now work. I was hesitant about taking it because the pay was only $9.00 an hour. This is why I rated a 5 because the agency never have anything constantly and when I finally did get a position, I feel as though the amount of work that's required the pay rate should be more than $9.00",Lack of good/appropriate jobs,neg,0
t3ec3cbc89dbe44f895fd7d4a0dddb9ce,0,As I said in my email that you didn't bother to read I was sent on an assignment and the person that was put in the car with me to drive to the assignment had a gun on them. Oh and by the way they were tripping on acid I tell your representative this they give me absolutely no feedback never called me back to tell me if they've resolved the situation unprofessional doesn't begin to describe how I feel about you.,Poor job fit/experience,neg,0
t786f868ff4544466b66cb3a98fe0c0c0,0,Apollonia was who hired me and I feel she didn't totally give me the right info or flat out lied just to get mebstart start working there..then told me my assignment was over just out of the blue when I was doing well and thought I would be working with or for addecco for much longer than 2 weeks I found because I was Dominican or Spanish I was profiled and treated differently and then let go and she never ever gave me a solid reason why I was let go just very unethical company or atleast that represents your company...and now 4 months later after excepting a job with addecco with all her promises I've been out of work for that long I really almost felt like sueing if I could get a lawyer probono because apparently since addecco hasn't put me back to work after so long without work I have no money,Poor communication,neg,0
td596f94f1404411ea54f2302f3bc60c7,8,Addeco has great opportunities. But the failure to keep me employed has been a struggle,Good jobs available,pos,1
t890035918cb44909a46ee0ac20444897,0,Very professional people to work with.,Professional staff,pos,1
t3ccd6dad81a14df387bf28c3a259fb32,7,"Due to car trouble I wasn't at my assignment long  , but they treated me very well. My problem came in when it was time to get paid which took almost 3wks. I was not pleased.",Problems with payroll,neg,0
td6d0ee27632a46feab1133afd36f642f,5,To be honest as possible.,Poor service/experience,neg,0
te48e959be6094d469db1a4312feaa4ea,6,"Adecco seems to do only the minimum with the people on assignment. Also its almost impossible to get benefits that are advertised. For example, I had a 3 year assignment and worked full time throughout the time. But because we were shut down for the Christmas holidays every year for 2 weeks and what few days I had off a year, I never worked the consistent straight hours to obtain holiday pay, etc.",Uncaring staff,neg,0
tfa8c9e154d054db187067a07a8e3a0c8,0,"My experience with Adecco has been characterized by disorganization and a complete lack of care for my team and coworkers. Adecco representatives change frequently and are often hard to contact, and have little idea of what me and my team do. Throughout the course of my contract, I and other members of my team have experienced many concerns around overtime, unfair pay, and promised title changes/raises that never came to be. When we tried to reach out about these concerns, we were stuck in a loop of 'Adecco can't fix that, that's your Google's job' while Google said 'we can't fix that, talk to Adecco.' Adecco has failed to advocate for my team. There is no transparency in the dealing between Google and Adecco and how contract extensions, pay, and other negotiations are handled. Additionally, the lack of PTO/holiday pay, scarce sick days, and minimal benefits are very disheartening compared to similar positions through other staffing agencies at other tech companies.",Poor communication,neg,0
t0698179bc33143f299ea9db49d6e813f,5,I know your not allowed to ask a person their age but I am 62 and the position I was put I was very difficult for me to maintain or to give my all to the job.  When I called Adecco and ask if their was a different job I could be put on I was informed then that they were not allowed to ask our age and that also once you are put on a job they did not let you change jobs because otherwise everyone would be changing job positions.,Poor job fit/experience,neg,0
tfd90330decb14a3b9262ca845d61b1ce,1,The truth,Poor service/experience,neg,0
t34814691fd004fc1ae2dc575c56548c7,8,Good staffing agency,Good customer service/experience,pos,1
td2ed5c632fb345f9917ae68b6c598f6a,7,They are pretty good at communicating just small things as far as the project but it‚Äôs a good job,Good communication,pos,1
te048c6e758b440a7bdbc7d6c19e1847c,0,Terrible work place with horrible management.,Poor service/experience,neg,0
tf5bb5fa7ae404ff39ff857c89edaa544,8,Personal experience,Good customer service/experience,pos,1
t77aed1b511164aefa643f6c2b6fb512c,8,I don't have any contact with the representative now that we have transitioned to someone else.,Poor communication,neg,0
t2356514f06d143c5a6c39b9f69634fa8,3,Terrible experience.,Poor service/experience,neg,0
t87561ed1cdbb4fd5959798dcefb7710d,8,The person who help me get a job was the best for me and my coworkers that‚Äôs Jose corona he is an excellent recruiter an as human too he try to help many people to find a job an I really appreciated his help in that time,Helpful/caring staff,pos,1
t4979228a2a89446bbdea679a065a8bf4,8,Adecco's job was done competantly.,Good customer service/experience,pos,1
ta2175eacd6de4564b45cfdaa7e3ac6a5,5,"Throughout most of my on-boarding and process as an employee, I haven't felt Adecco has worked to get to know me, my role, or support me at all. My first day really set the tone, come in, get you laptop and get sent to your role without any information regarding how to get from SVL to the office I'd be working out of. 

The few times I have had to reach out to the Adecco, they have been extremely responsive and helped provide resources to answer my questions. I do appreciate the support when proactively reached out to.",Uncaring staff,neg,0
tdca60f5eea0a465599cd549224d9f199,8,Adecco doesnt always have jobs available.,Lack of good/appropriate jobs,neg,0
tec1c45ba4490411a9e0f50c82ac3a98e,6,I feel like theres little to no communication between Adecco and my employer because Id get 4 different answers from 4 different people whenever I asked questions. Everyone's not on the same page.,Poor communication,neg,0
t79f33052410c44f699676684debc3acd,8,Good experience,Good customer service/experience,pos,1
t5ba32d5f12e54ebfa2d591e6b84e8deb,7,"I feel as though adecco isn't really a part of my employment, there seems to be little to no communication with them throughout my assignment. This isn't necessarily a bad thing.",Poor communication,neg,0
t4be77dbcda40439381462e5177d0cb30,0,"No organization no communication , when I got to the assignment the adecco lady forgot I was even coming",Poor communication,neg,0
t80be81010a3b4a82accbf4f09720876f,0,Being truthful,Poor service/experience,neg,0
t26980f41b7884456b5bca69f0a60b4fa,0,support from adecco staff has been spotty at best.,Uncaring staff,neg,0
tf3a5e44afa0246abab8c0ec8a14d710e,0,"Following reasons: organized , inexcusable delays in response time, job description not accurate. Times when a reply was never answered, over difficult process to use sick time and constant loosing of focusing paperwork.",Lack of Responsiveness,neg,0
te655ac4fedf441528561610da21031e1,0,I was asked and my responses are true,Poor service/experience,neg,0
tcae195b708124618ab218201902132a8,7,Personal opinion,Good customer service/experience,pos,1
t49415510613343b986c84b6a1bd7ae24,0,"CARLA HAS THE NASTIEST AND UNPROFESSIONAL ATTITUDE üëäüèæ SHE DOESN'T CARE ABOUT HER EMPLOYEES BE BEING CORRECTED. SHE LIES ABOUT REACHING OUT TO THE COMPANY I WORKED FOR
 I'VE NEVER BEEN COMPENDATED FOR THE HPURS I'VE WORKED.",Uncaring staff,neg,0
t1095e969785147b19e86cec51a134e61,8,Swift resolution processes,Good responsiveness ,pos,1
tb4e6689ef47b4725827f8ed4319d4098,0,"Unprofessional, rude and disrespectful.   Very vulgar attitude no ETIQUETTE.   Treat people as if staff of Addecco is superior.  Condescending  to all clients from supervisor to managers.",Uncaring staff,neg,0
t565ce549f2a4499296fa8911033010ce,8,Communication from recruiter was very minimal,Poor communication,neg,0
t5eacd6aaa3074eef89d084929f91725c,7,Need better workers,Poor service/experience,neg,0
t40bd0f10725245c0ae47f347f3f8d33e,0,Hated the bakery,Poor job fit/experience,neg,0
t7e3c413bfbe7469b866f8347a23390e6,0,"The company did not treat me well as an employee, and the working conditions were not good.",Poor job fit/experience,neg,0
t37e4a821053f4a1991e73ee9edc136b7,5,I used a reference on my application and this person still has yet to receive his $50 gift card for groceries.,Lack of Responsiveness,neg,0
t88d378c4b7364f5b90034eb45aaf22d9,5,a Few different reasons but one is because I didn‚Äôt receive my wage form and when I asked for it I was told they couldn‚Äôt give it to me now,Problems with payroll,neg,0
tfde058ea54d941a1bf7c50d71b03990b,7,Room for improvement,Good customer service/experience,pos,1
t0906812a9a46474eb176367051f34662,5,"Recently requested info about a raise since almost a year being hired, no answer. No feedback about performance.",Lack of Responsiveness,neg,0
te3b66df49d1e4860888eac07cac71c1f,2,lack of communication and or lack of call back or return email within 24 business hours.,Poor communication,neg,0
t0eae2243bf624aacbd25198e0867acb0,0,"Office employees do not have anyyyyyyy communication with employees in the field... They are allowing couples to work together which cause so much drama, placing ppl at supervisory roles that should not be there, when u tell the office about issues it gets resolved um about never....",Poor communication,neg,0
t1b3f14613c2e40dd842c095a511bda2f,8,Personal experience,Good customer service/experience,pos,1
te266a46b85654eee8958c4bbd056439d,8,I had basically no issues on my assignment; it was a good experience all around.,Good customer service/experience,pos,1
t3671858d66cc4e5a9f74be35e36716c7,8,My Perspective Of Adecco.,Good customer service/experience,pos,1
t04e20d70e19b47e5ade1544cf9c7b1a6,8,"Wasnt clear who to contact, so I had to just reply to the same people all the time.",Poor communication,neg,0
tef8bc87ce606431aa59bebfb0ddbf5d7,5,The benefits are horrible.,Poor benefits,neg,0
t92979426928e48ef9433df9015f03a50,7,Ok experience,Good customer service/experience,pos,1
ta3283bf30a3648e192accf7e02673fb2,0,"Raises for second year at Waymo was almost 6 weeks late. Emails have been left unanswered. Unclear about processes like drug testing, almost a year late into the position did they actually do the background test, and performance feedback was given so late and it only constituted about break times. Overall, the relationship between Waymo and Adecco seems extremely unorganized to the point where communication looks broken. Waymo will blame Adecco for late raises and no performance feedback, and Adecco does the same to Waymo. It's a game of gaslighting.",Poor pay,neg,0
t98a435e384614dbba373153559af0af9,0,I was on site for 3 hours and sent home. She said she would find something else but i never heard from her again.,Lack of Responsiveness,neg,0
t65a6ae94f811465ea2d3c708e8f186b6,5,There are fair,Good customer service/experience,pos,1
t2971bc8ca66544fabe38fd72243cb718,3,Honesty.,Poor service/experience,neg,0
t4e48ec2131b04798a54d63b9c8fb304f,0,It‚Äôs one of the worse people to work with!,Poor service/experience,neg,0
t33d9fb33b71a467cb9cf49f9bbfe84da,1,Denied my request to transfer,Poor job fit/experience,neg,0
t98cd5ddc7c81494fa65338987a2dcb34,7,Personal experience with the person who I communicated with to obtain the position and the local on-site contact.,Good customer service/experience,pos,1
tffe08d140cd44ba4898319fdc3e32181,6,Experience,Poor service/experience,neg,0
ta7ba43642dcd4ab6a9f88af76010d817,8,It was an enjoyable experience with a very refined company.,Good customer service/experience,pos,1
t67ffa0cf143b4622aca7bbcdb3d87fa5,3,Feedback,Poor service/experience,neg,0
tb4189570d2504b3088d3f71475f84bfc,1,I love adecco great people,Good customer service/experience,pos,1
tf47df546007f4e7cba35859432153bd8,0,"My calls are never answered; When I was able to contact someone they never contacted me with information I asked for; The supervision in the assignment I'm in lacks leadership, communication and common courtesy.",Lack of Responsiveness,neg,0
t483baa0cea6544278e9c364f5c10f79e,8,"Both Adecco and Tapestry are great Companies, thank you! My Adecco agent was great and I love Tapestry. in general response was timely however if my Adecco contact goes on vacation which happened and I need to speak with someone, it would help if there was a back up plan.  Sometimes timing is important is all.",Good customer service/experience,pos,1
t8a2af365e44a4c8fbe3364665befe40f,5,"Satisfied with my direct contacts on the Google assignment, however disappointed with my contact with Adecco.",Poor service/experience,neg,0
t97e8459b130f4bf79d60f05c7265d098,2,Sub-par benefits. Not extremely helpful regarding benefits package sign-up when there was a log-in issue,Poor benefits,neg,0
t9598d6304aa94295b1726ac50a6ddb62,4,Employees acted like adecco people were nothing they didn‚Äôt want to train you or help u and if there was a problem it was the temps fault I told them that the person training me was not helpful and the next day I was told not to come in I have never had a problem anywhere I have worked and I am not slow.  But I did need to know what I was doing.,Poor job fit/experience,neg,0
t4543025b6f884ea4af3e63c4494c1dd3,8,The hours that were discussed were not provided. Most checks barely touching 11 hours total.,Poor communication,neg,0
t4a7afe45d9b44af19b9bdc542b2fc8ee,1,"I've worked for Adecco for 4 years and never received any vacation time! I had to use my 24 hrs for sick and Dr. Appt. I earned 90 plus hours on my books in those 4 years and Adecco will not use these earned hrs. When my assignment is over,  I will lost all my hrs. if you don't place another assignment with in 3 months time. This Agency seems to not care for the hard working people, So I will use other Agencies & will not recommend or refer this one to any of my work colleagues.",Poor benefits,neg,0
td565a28d7f0f4b8f8061ab0e4341fe96,3,I didn‚Äôt feel much support from Adecco. I had to consistently follow up with adecco associates to get my questions answered in a timely manner.,Uncaring staff,neg,0
te6e0910ff7f74c189ad2f17254afd9c5,0,"Ive never worked there or was offered a job from them, like 90 percent of your jobs employers do not hire from here. They hire an employees friend",Didn’t find me a job,neg,0
t38cbdf5052c547ad8e2c9da13b958316,8,I have an incident happen with the company that I worked for through Adecco and they never talked to me about traditions or reached out to me prior.,Lack of Responsiveness,neg,0
tfc1d48189db2479c8389e515c8a68027,8,Actual experience,Good customer service/experience,pos,1
t7f5db723c12549dbb065aa64594dc6e9,8,They were yes/no questions answered truthfully.  My experience has been good with Adecco.,Good customer service/experience,pos,1
t7392b3c143634b348214220dbe846d9e,0,"My experience was downright terrible. No organization, no direct phone to reach, the company was completely incompetent as well. The fault doesn't solely fall on Addecco either.",Poor service/experience,neg,0
t27c12e75b79c433b8bec2b72578288aa,7,Everything went smoothly and any issues I did have were resolved quickly,Good customer service/experience,pos,1
t14176f489bf74ce3a1f3650d03a5a3fd,8,Everyone was nice but not everything was perfect.,Helpful/caring staff,pos,1
t5c114e4ba8b34727b6a30e1f4d643c02,0,"Lost contact with client. Was not informed that payment would stop until two weeks later, while I was out of state doing business for client!  Told to come home and to not report to work until Adecco worked it out. Never heard from Adecco again.  I'd prefer to keep it that way, so stop nagging me with these ridiculous surveys!",Poor communication,neg,0
td4abf6ca43fe4a8c888106a0fb87e099,8,Answered honestly,Good customer service/experience,pos,1
t73b8e2cb11504f5eab88a854c74bb15d,5,Lack and communication and one on one contact between myself and an Adeccoo Representative,Poor communication,neg,0
td3851c1c03a44268a0eedebc293a0011,7,I have no negative feedback for Adecco.  Everyone was professional and attentive to my questions and concerns.,Professional staff,pos,1
t527066fc6bc94b2c8dce2a74315b6cd0,1,"Had fight get my 1st week check. My 2CD check too.
Now fight to get my over time pay from 3 weeks ago.",Problems with payroll,neg,0
tb2753a292ad64f5f8e08c558bcba6efd,8,I enjoyed working for Adecco! They were communicative and always helpful/understanding.,Good communication,pos,1
tbc82b855703849b199e175baa2ea21b0,6,"sometimes the instructions are confusing, like Adecco provides a list of instructions, and I'm told some apply to me and some don't (but it's not clear which ones apply and which don't)",Poor communication,neg,0
tfd7c05348a4a420eb54bf4f4e1be0c22,5,Just being honest,Poor service/experience,neg,0
td610d07ad3ed49d8b9cd5e4d2514061c,3,My Adecco manager didn't communicate critical detail regarding a position. Communcation with my Adecco manager failed.,Poor communication,neg,0
t04fe91c5bd7646de8e732e8fd6304864,0,Un-professional. Liar and sexist.,Uncaring staff,neg,0
t54697d5f786346c6885e27684c584b93,7,Overall good experience,Good customer service/experience,pos,1
te6f146e710e04ff1a0ce991c3d007059,8,The true,Good customer service/experience,pos,1
t3f916ba56b7947b2a51fd34aba0d7327,7,Honest opinion from personal experience,Good customer service/experience,pos,1
tdcb57daede2c4e41ae455666e6145323,0,"Horrible agency, the worst",Poor service/experience,neg,0
t945143b4afe04328b8b62735b2160151,8,"Found another job. Also, this position did not pay well nor did it have any benefits.",Poor pay,neg,0
t615267e5900e4500b6fcc2ebdd2e70da,8,"Lack of communication been Adecco, the employer and me",Poor communication,neg,0
t3c8c8117403b47c3bc3014ddd3ef999a,8,company should have more contact with its listed employees. Provide jobs opportunities listing for those employees that would like to have better opportunity of employment.,Poor communication,neg,0
ta075e9a616c6461391bd76c7d720765b,0,They never found a job for me,Didn’t find me a job,neg,0
tbc89cf83f0a24c1caf6ebc89627226b8,6,Lack of professionalism and procedure,Poor service/experience,neg,0
tb5ae00ae029d4169b8e78d47c633e33d,8,No benefits,Poor benefits,neg,0
tc563d838f42e4e59aa5ca69bdcc46524,5,That‚Äôs how I feel about the job that was being done during the time,Poor service/experience,neg,0
tdc5e61189b5e4295a233afc94ec2684d,8,"I never had any contact with anyone from Adecco after I started. The first guy left, then two or three more after that with no notice to me. I would email and get an ""I left Adecco"" response. The most current lady was in Texas. I got a hold of her by not submitting my hours so I could get a ""you didn't submit your hours"" email. I did that a lot to keep tabs on who would email me so I'd know who my contact was.",Poor communication,neg,0
t4e1e026b3d3442a5960752955468050b,2,The assignment just ended with no heads up or no opportunity to come back . They just called and said don‚Äôt come back i was told i did nothing wrong . I emailed and asked about getting on another assignment with adecco and no reply back whatsoever,Poor communication,neg,0
taa128aa4447943ff95141134eec7393a,0,I have a conflict that still has not been resolved and not getting any feedback from adecco,Lack of Responsiveness,neg,0
t8689d342aa9449ffbdfc6d3f96f6510f,6,"Never answer the phone
Nasty attitudes at the Covington pipe location
To many side convos not enough helping
Good at giving a assignment if they have 1 available
Good at explaining the assignment",Lack of Responsiveness,neg,0
t371250330c31436f940eb7c645a9160c,8,Sue is absolutely amazing always put's her best efforts in play. Very quick and easy contact and information in reasonable time. Placed in an environment that fits my preference.,Helpful/caring staff,pos,1
t38b5456fe9404d4285364b5f58fd02d2,0,Adecco sucks.  Cheapest paying temp that has no authority,Poor pay,neg,0
t84484886e0394f63b0b91dec12356e5c,7,There where problems that were not addreased by my addeco worker that is why I'm no longer there you need to get someone who cares and has a backbone to fire trouble makers,Lack of Responsiveness,neg,0
t44d97114f1d843bfbfefa65484c2d76e,0,I got fired from a job for standing up,Poor job fit/experience,neg,0
t98afac284e0845b582100c209d5ff517,8,Personal experience,Good customer service/experience,pos,1
t6860867ec6264a818e53094fe9564b99,7,Because they are accurate respectful and correct answers.,Good customer service/experience,pos,1
tcbccb2a6d45b4bc7ad404378f425e2bd,8,Satisfactory.,Good customer service/experience,pos,1
te2b95debe718406a80bea472a22ed7cd,0,"My assignment ended with no warning. I was not given much feedback from the company. I was told I was going to be trained on another project, but instead they terminated me. I was not contacted about any future long term assignments.",Poor communication,neg,0
t94288eee71614afdbae7e3faad1d3a4b,7,Emplyment ensurance and benefits,Poor benefits,neg,0
t48e7c11664ab4803a625b75a20441a83,6,"The person I was working with from Adecco was very responsive and nice, but when I had a question about transferring offices it took ages to get a response. I ended up going directly to my supervisor at my placement and the process was quite simple.",Lack of Responsiveness,neg,0
t6a394a83c8894e5db6b2718e1fd71ced,5,"Adecco has always been great to me in my past experiences. The ladies of the office as well are friendly and great help. Just this most recent transition. I had originally applied for a Part Time position I was very interested in, the pay was perfect. That afternoon of applying for p/t work, I received a call from my local Adecco office and was offered a full time position that ""would be a better match and pay was only off by half a dollar"" BUT rather than receiving info for the p/t position. Don't get me wrong, I accepted the f/t offer (although it was in fact the type of work I was NOT seeking for a change But I couldn't afford not to. I was trained 1 wk put on the phones alone on wk 2 and by the beginning of wk 3 was told by the manager of that dept that the position was not going to be hiring on and the end of month my contract would end. I was surprised especially not having heard from anyone over at Adecco. The manager then offered me an interview with another dept. I accepted as well as emailed Adecco in regards to what was going on and was told to call at my 30 min lunch to discuss. I did not follow up. The interview was the very next day. Nothing was discussed about contract terms nor pay at that time. I was then extended the offer and that is when I was contacted by Adecco to let me know and needed my answer by the next day at the latest. At this time job duties were gone over. As i accepted the position again because I need my job before call was over is when I was notified that my pay would be cut by $1.50. when questioning it, was told all that they couldnt do anything since it was what the company was paying for this position of inbound Credit reps. I feel that if I was notified of this ASAP by Adecco with other job offers as options to allow me to choose one in where at least the pay rate I know I am needing in order to survive. So with that being said I feel as I was forced to settle for a position and pay that I was not satisfied with. Also, this  has lead to no contact from anyone at Adecco. As well as a no response in regards to an email I sent in to notify I would be running later. I got to work to find they had been notified but I wasn't acknowledged, even in responding to let her know I was in and that I wanted to see when a good time would be for me to go into the office to discuss the cut in pay I was offered. I have yet to get a response.",Good customer service/experience,pos,1
ta0e37836fa5e4d48b1f313b4f3c937c1,8,Communication,Good communication,pos,1
tc454d6fdb4e44241b664e38e3cbf16c7,6,"My primary reason, for my ratings, is my experience with Adecco and the assignment I need to feel like my employer cares and when there is an issue a personal or in person visit makes you feel as if you are more than just a selection for a vacancy. I‚Äôve met one representative when there was an issue with my payroll that lasted for 5 pay periods and I had to make my way to their office and the issue was not my fault at that time. I was given a gift card but I had to deal with 2 completely unnecessary commutes and lengthy travel times for something that could been an opportunity to get to know me a little better.",Poor job fit/experience,neg,0
t09160a71be7a4fa3a064d071dd1181b8,0,I was not advised that the assignment was ending no warning I worked that night got off at 8 received a phone call about 9 saying I was no longer needed,Poor communication,neg,0
t9a734de2f95b4736b980c62a39bd3311,0,"You never cared about me. Issues were resolved slow and with trouble. I finished my assignment and Adecco did not even ask if I was looking for something else. You guys just wanted to get your margin, you did not provide any help to make me grow professionally. I guess you are just the middle point needed by any company to hire me without needing to make me a full time employee. That way you make money from me, and the company who hires me does not provide me benefits. Nothing personal, any other recruiters are more or less the same...",Uncaring staff,neg,0
te125fe6c02944d12abb2688985883800,0,They don‚Äôt care about anything but there pay check that‚Äôs all,Uncaring staff,neg,0
t66fa49e7b50644e781e232efdaf4d75d,3,"I have been trying, since I was hired at CTDI by addecco, to view my online paystub but my account never works. I've been told countless times that they fixed it but whenever I try and make my account it says to contact your local branch. AND now because of this I cannot sign up for my benefits and October 2 was my last day to sign up.",Problems with payroll,neg,0
t00b4ad84fd6b4b34b83eb8169415292a,1,MISINFORMATION AND LACK OF COMMUNICATION,Poor communication,neg,0
td0dd0479f87e413f872b1eb7db54521a,6,"Good overall, but Modis gave incorrect information about benefits during the interview and hiring process.  I accepted the job with the understanding that I would be getting good health benefits based on information provided to me through email.  Once the job started, I discovered that these benefits were not available to me due to the incorrect information being sent to me.  I have continued with the position, but have had to purchase private health care.",Good customer service/experience,pos,1
ta2f18dcdcd1c40b89db56e2d54125964,6,Unprofessional no one answers the phone took a month to start job even though I was told right away that I got the temp position and they changed my schedule at the last minute pay check was messed up a lot and when I needed help they lady would say call Pricilla and hang up on me even though they had same phone number so I had to call back and don‚Äôt answer the phone huffing and puffing,Poor service/experience,neg,0
ta884c14387534d808f198ff9b299ea8d,0,Good,Good customer service/experience,pos,1
t73406214dae048ec93447955801c8b1a,0,Horrible experience with this staffing agency.  I was lied to several times and constantly mislead,Poor service/experience,neg,0
t0e02f5b2ae7449c88774ba9b683a1cc6,5,"First of all, before giving a survey Adecco should be more in touch with their employees when there is an on site Rep. Because I was given no contact numbers for my onsite Rep and had no communication with her at all because she was never there.",Uncaring staff,neg,0
t575b89acbf824b6aac8539541def4d84,0,The never did reach back out to me.,Lack of Responsiveness,neg,0
td1faa84274c64cf4a172eb6035fbc3e2,1,From the very first day I submitted my resume the position I applied for was ignored. The position I have been placed in is not what I applied for. To do my job the correct  way you need access to the system .I have no access so it is impossible to do my job.,Lack of Responsiveness,neg,0
t4a9b6bde48a34c5f970f902272819046,2,I have expressed concern and issues with my assignment and it just is not important to anyone. I don‚Äôt know if I have any benefits or how the whole process works. It‚Äôs so frustrating,Uncaring staff,neg,0
t9276b07d224f4d9794379525c3fbea74,2,"I would say if you are desperate for money go for it. I think it‚Äôs criminal that seasonals for the state don‚Äôt work for the state. I‚Äôve been in the system long enough to have worked for them over 5 years as a seasonal before the temp agency took over.  I do not wish to disparage my former employers any further, just know that the original low mark probably has nothing to do with the agency.",Poor pay,neg,0
t28cbbb61c02b451b89a93e6d2daa0acc,0,Overall had a horrible experience feel free to call I'll tell you more 7606809224,Poor service/experience,neg,0
tfb4b131072614ec9999185a318437f5d,5,The primary reason behind my scores today were based on the leaders that was put forth in front of me during my last assignment. Although they didn‚Äôt have much say I also believe they didn‚Äôt really care.,Poor job fit/experience,neg,0
t01f75a2a3cf049d998215c371c07f3bd,4,"No communication. Anything that went wrong, no one was willing or able to help. Charging back validly claimed Oregon sick time was NOT okay. We shouldn't have to fight and argue for a legal right.",Poor communication,neg,0
t53b5b0b5fb77461ea3a5eb6ca6a3694a,2,"Poor to nonexistent communication is a common theme. To start, job description did not match the job I applied for and had to be cleared up by client. There was no training or on boarding process by Adecco. There is a lack of interest from Adecco Program Managers for contingent workers. When new CPM took over there was no formal introduction for months. CPM and Program Managers are full time remote workers while all Ops Leads work on site, resulting in lack or leadership or support for issues. Arranging travel with Program Manager is excruciating painful and lacks clear communication. Several times hotel was booked without credit card on file, requiring balance of thousands of dollars to be paid off using personal credit card upon checkout. Program Manager, without consulting, booked a cross country flight with a layover that actually cost more than a direct flight. Had to escalate to CPM in order to save money and fly direct. Adecco does not do anything to show they value their workers. Office lacks positive culture, check-ins, annual reviews, or anything to make Ops Leads feel they are part of a team. General feelings in office is that Adecco cares about growing headcount but not in nurturing workers for career advancement or to be greater assets to the company.",Poor communication,neg,0
